Step 0: x = 0, y = 0, z = 0, vx = 0, vy = 0, vz = 0, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 121: x = 0, y = 0, z = -64.3063, vx = 0, vy = 0, vz = -35.6103, phi = 0.00655518, theta = 69268.5, psi = 0, p = 0.00363, q = 38358.2, r = 0
Step 122: x = 0, y = 0, z = -65.3763, vx = 0, vy = 0, vz = -35.9046, phi = 0.00666425, theta = 70421.1, psi = 0, p = 0.00366, q = 38675.2, r = 0
Step 123: x = 0, y = 0, z = -66.4551, vx = 0, vy = 0, vz = -36.1989, phi = 0.00677423, theta = 71583.2, psi = 0, p = 0.00369, q = 38992.2, r = 0
Step 124: x = 0, y = 0, z = -67.5428, vx = 0, vy = 0, vz = -36.4932, phi = 0.0068851, theta = 72754.9, psi = 0, p = 0.00372, q = 39309.2, r = 0
Step 125: x = 0, y = 0, z = -68.6393, vx = 0, vy = 0, vz = -36.7875, phi = 0.00699687, theta = 73936, psi = 0, p = 0.00375, q = 39626.2, r = 0
Step 126: x = 0, y = 0, z = -69.7447, vx = 0, vy = 0, vz = -37.0818, phi = 0.00710955, theta = 75126.6, psi = 0, p = 0.00378, q = 39943.3, r = 0
Step 127: x = 0, y = 0, z = -70.8589, vx = 0, vy = 0, vz = -37.3761, phi = 0.00722312, theta = 76326.8, psi = 0, p = 0.00381, q = 40260.3, r = 0
Step 128: x = 0, y = 0, z = -71.9819, vx = 0, vy = 0, vz = -37.6704, phi = 0.0073376, theta = 77536.4, psi = 0, p = 0.00384, q = 40577.3, r = 0
Step 129: x = 0, y = 0, z = -73.1137, vx = 0, vy = 0, vz = -37.9647, phi = 0.00745297, theta = 78755.6, psi = 0, p = 0.00387, q = 40894.3, r = 0
Step 130: x = 0, y = 0, z = -74.2543, vx = 0, vy = 0, vz = -38.259, phi = 0.00756925, theta = 79984.3, psi = 0, p = 0.0039, q = 41211.3, r = 0
Step 131: x = 0, y = 0, z = -75.4038, vx = 0, vy = 0, vz = -38.5533, phi = 0.00768642, theta = 81222.5, psi = 0, p = 0.00393, q = 41528.3, r = 0
Step 132: x = 0, y = 0, z = -76.5621, vx = 0, vy = 0, vz = -38.8476, phi = 0.0078045, theta = 82470.2, psi = 0, p = 0.00396, q = 41845.3, r = 0
Step 133: x = 0, y = 0, z = -77.7293, vx = 0, vy = 0, vz = -39.1419, phi = 0.00792347, theta = 83727.4, psi = 0, p = 0.00399, q = 42162.3, r = 0
Step 134: x = 0, y = 0, z = -78.9053, vx = 0, vy = 0, vz = -39.4362, phi = 0.00804335, theta = 84994.1, psi = 0, p = 0.00402, q = 42479.3, r = 0
Step 135: x = 0, y = 0, z = -80.0901, vx = 0, vy = 0, vz = -39.7305, phi = 0.00816412, theta = 86270.3, psi = 0, p = 0.00405, q = 42796.3, r = 0
Step 136: x = 0, y = 0, z = -81.2837, vx = 0, vy = 0, vz = -40.0248, phi = 0.0082858, theta = 87556, psi = 0, p = 0.00408, q = 43113.4, r = 0
Step 137: x = 0, y = 0, z = -82.4862, vx = 0, vy = 0, vz = -40.3191, phi = 0.00840837, theta = 88851.3, psi = 0, p = 0.00411, q = 43430.4, r = 0
Step 138: x = 0, y = 0, z = -83.6974, vx = 0, vy = 0, vz = -40.6134, phi = 0.00853185, theta = 90156.1, psi = 0, p = 0.00414, q = 43747.4, r = 0
Step 139: x = 0, y = 0, z = -84.9176, vx = 0, vy = 0, vz = -40.9077, phi = 0.00865622, theta = 91470.3, psi = 0, p = 0.00417, q = 44064.4, r = 0
Step 140: x = 0, y = 0, z = -86.1465, vx = 0, vy = 0, vz = -41.202, phi = 0.0087815, theta = 92794.1, psi = 0, p = 0.0042, q = 44381.4, r = 0
Step 141: x = 0, y = 0, z = -87.3843, vx = 0, vy = 0, vz = -41.4963, phi = 0.00890767, theta = 94127.4, psi = 0, p = 0.00423, q = 44698.4, r = 0
Step 142: x = 0, y = 0, z = -88.6309, vx = 0, vy = 0, vz = -41.7906, phi = 0.00903475, theta = 95470.2, psi = 0, p = 0.00426, q = 45015.4, r = 0
Step 143: x = 0, y = 0, z = -89.8863, vx = 0, vy = 0, vz = -42.0849, phi = 0.00916272, theta = 96822.5, psi = 0, p = 0.00429, q = 45332.4, r = 0
Step 144: x = 0, y = 0, z = -91.1506, vx = 0, vy = 0, vz = -42.3792, phi = 0.0092916, theta = 98184.3, psi = 0, p = 0.00432, q = 45649.4, r = 0
Step 145: x = 0, y = 0, z = -92.4237, vx = 0, vy = 0, vz = -42.6735, phi = 0.00942137, theta = 99555.7, psi = 0, p = 0.00435, q = 45966.4, r = 0
Step 146: x = 0, y = 0, z = -93.7056, vx = 0, vy = 0, vz = -42.9678, phi = 0.00955205, theta = 100937, psi = 0, p = 0.00438, q = 46283.5, r = 0
Step 147: x = 0, y = 0, z = -94.9964, vx = 0, vy = 0, vz = -43.2621, phi = 0.00968362, theta = 102327, psi = 0, p = 0.00441, q = 46600.5, r = 0
Step 148: x = 0, y = 0, z = -96.2959, vx = 0, vy = 0, vz = -43.5564, phi = 0.0098161, theta = 103727, psi = 0, p = 0.00444, q = 46917.5, r = 0
Step 149: x = 0, y = 0, z = -97.6043, vx = 0, vy = 0, vz = -43.8507, phi = 0.00994947, theta = 105136, psi = 0, p = 0.00447, q = 47234.5, r = 0
Step 150: x = 0, y = 0, z = -98.9216, vx = 0, vy = 0, vz = -44.145, phi = 0.0100837, theta = 106555, psi = 0, p = 0.0045, q = 47551.5, r = 0
Step 151: x = 0, y = 0, z = -100.248, vx = 0, vy = 0, vz = -44.4393, phi = 0.0102189, theta = 107983, psi = 0, p = 0.00453, q = 47868.5, r = 0
Step 152: x = 0, y = 0, z = -101.583, vx = 0, vy = 0, vz = -44.7336, phi = 0.010355, theta = 109421, psi = 0, p = 0.00456, q = 48185.5, r = 0
Step 153: x = 0, y = 0, z = -102.926, vx = 0, vy = 0, vz = -45.0279, phi = 0.010492, theta = 110869, psi = 0, p = 0.00459, q = 48502.5, r = 0
