Step 0: x = 0, y = 0, z = 0, vx = 0, vy = 0, vz = 0, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 478: x = 0, y = 0, z = -1007.35, vx = 0, vy = 0, vz = -140.675, phi = 0.102686, theta = 1.08509e+06, psi = 0, p = 0.01434, q = 151531, r = 0
Step 479: x = 0, y = 0, z = -1011.58, vx = 0, vy = 0, vz = -140.97, phi = 0.103117, theta = 1.08963e+06, psi = 0, p = 0.01437, q = 151848, r = 0
Step 480: x = 0, y = 0, z = -1015.81, vx = 0, vy = 0, vz = -141.264, phi = 0.103548, theta = 1.09419e+06, psi = 0, p = 0.0144, q = 152165, r = 0
Step 481: x = 0, y = 0, z = -1020.05, vx = 0, vy = 0, vz = -141.558, phi = 0.10398, theta = 1.09876e+06, psi = 0, p = 0.01443, q = 152482, r = 0
Step 482: x = 0, y = 0, z = -1024.29, vx = 0, vy = 0, vz = -141.853, phi = 0.104413, theta = 1.10333e+06, psi = 0, p = 0.01446, q = 152799, r = 0
Step 483: x = 0, y = 0, z = -1028.55, vx = 0, vy = 0, vz = -142.147, phi = 0.104847, theta = 1.10792e+06, psi = 0, p = 0.01449, q = 153116, r = 0
Step 484: x = 0, y = 0, z = -1032.82, vx = 0, vy = 0, vz = -142.441, phi = 0.105282, theta = 1.11252e+06, psi = 0, p = 0.01452, q = 153433, r = 0
Step 485: x = 0, y = 0, z = -1037.09, vx = 0, vy = 0, vz = -142.735, phi = 0.105718, theta = 1.11712e+06, psi = 0, p = 0.01455, q = 153750, r = 0
Step 486: x = 0, y = 0, z = -1041.38, vx = 0, vy = 0, vz = -143.03, phi = 0.106155, theta = 1.12174e+06, psi = 0, p = 0.01458, q = 154067, r = 0
Step 487: x = 0, y = 0, z = -1045.67, vx = 0, vy = 0, vz = -143.324, phi = 0.106592, theta = 1.12636e+06, psi = 0, p = 0.01461, q = 154384, r = 0
Step 488: x = 0, y = 0, z = -1049.97, vx = 0, vy = 0, vz = -143.618, phi = 0.107031, theta = 1.13099e+06, psi = 0, p = 0.01464, q = 154701, r = 0
Step 489: x = 0, y = 0, z = -1054.28, vx = 0, vy = 0, vz = -143.913, phi = 0.10747, theta = 1.13564e+06, psi = 0, p = 0.01467, q = 155018, r = 0
Step 490: x = 0, y = 0, z = -1058.6, vx = 0, vy = 0, vz = -144.207, phi = 0.10791, theta = 1.14029e+06, psi = 0, p = 0.0147, q = 155335, r = 0
Step 491: x = 0, y = 0, z = -1062.93, vx = 0, vy = 0, vz = -144.501, phi = 0.108351, theta = 1.14495e+06, psi = 0, p = 0.01473, q = 155652, r = 0
Step 492: x = 0, y = 0, z = -1067.26, vx = 0, vy = 0, vz = -144.796, phi = 0.108793, theta = 1.14962e+06, psi = 0, p = 0.01476, q = 155969, r = 0
Step 493: x = 0, y = 0, z = -1071.61, vx = 0, vy = 0, vz = -145.09, phi = 0.109236, theta = 1.1543e+06, psi = 0, p = 0.01479, q = 156286, r = 0
Step 494: x = 0, y = 0, z = -1075.96, vx = 0, vy = 0, vz = -145.384, phi = 0.10968, theta = 1.15899e+06, psi = 0, p = 0.01482, q = 156603, r = 0
Step 495: x = 0, y = 0, z = -1080.33, vx = 0, vy = 0, vz = -145.678, phi = 0.110125, theta = 1.16369e+06, psi = 0, p = 0.01485, q = 156920, r = 0
Step 496: x = 0, y = 0, z = -1084.7, vx = 0, vy = 0, vz = -145.973, phi = 0.110571, theta = 1.1684e+06, psi = 0, p = 0.01488, q = 157237, r = 0
Step 497: x = 0, y = 0, z = -1089.08, vx = 0, vy = 0, vz = -146.267, phi = 0.111017, theta = 1.17312e+06, psi = 0, p = 0.01491, q = 157554, r = 0
Step 498: x = 0, y = 0, z = -1093.47, vx = 0, vy = 0, vz = -146.561, phi = 0.111465, theta = 1.17785e+06, psi = 0, p = 0.01494, q = 157871, r = 0
Step 499: x = 0, y = 0, z = -1097.87, vx = 0, vy = 0, vz = -146.856, phi = 0.111913, theta = 1.18259e+06, psi = 0, p = 0.01497, q = 158188, r = 0
Step 500: x = 0, y = 0, z = -1102.28, vx = 0, vy = 0, vz = -147.15, phi = 0.112362, theta = 1.18733e+06, psi = 0, p = 0.015, q = 158505, r = 0
Step 501: x = 0, y = 0, z = -1106.69, vx = 0, vy = 0, vz = -147.444, phi = 0.112813, theta = 1.19209e+06, psi = 0, p = 0.01503, q = 158822, r = 0
Step 502: x = 0, y = 0, z = -1111.12, vx = 0, vy = 0, vz = -147.739, phi = 0.113264, theta = 1.19686e+06, psi = 0, p = 0.01506, q = 159139, r = 0
Step 503: x = 0, y = 0, z = -1115.55, vx = 0, vy = 0, vz = -148.033, phi = 0.113716, theta = 1.20163e+06, psi = 0, p = 0.01509, q = 159456, r = 0
Step 504: x = 0, y = 0, z = -1119.99, vx = 0, vy = 0, vz = -148.327, phi = 0.114169, theta = 1.20642e+06, psi = 0, p = 0.01512, q = 159773, r = 0
Step 505: x = 0, y = 0, z = -1124.45, vx = 0, vy = 0, vz = -148.621, phi = 0.114622, theta = 1.21121e+06, psi = 0, p = 0.01515, q = 160090, r = 0
Step 506: x = 0, y = 0, z = -1128.91, vx = 0, vy = 0, vz = -148.916, phi = 0.115077, theta = 1.21602e+06, psi = 0, p = 0.01518, q = 160407, r = 0
Step 507: x = 0, y = 0, z = -1133.38, vx = 0, vy = 0, vz = -149.21, phi = 0.115533, theta = 1.22083e+06, psi = 0, p = 0.01521, q = 160724, r = 0
Step 508: x = 0, y = 0, z = -1137.85, vx = 0, vy = 0, vz = -149.504, phi = 0.115989, theta = 1.22566e+06, psi = 0, p = 0.01524, q = 161041, r = 0
Step 509: x = 0, y = 0, z = -1142.34, vx = 0, vy = 0, vz = -149.799, phi = 0.116446, theta = 1.23049e+06, psi = 0, p = 0.01527, q = 161358, r = 0
Step 510: x = 0, y = 0, z = -1146.84, vx = 0, vy = 0, vz = -150.093, phi = 0.116905, theta = 1.23533e+06, psi = 0, p = 0.0153, q = 161675, r = 0
Step 511: x = 0, y = 0, z = -1151.34, vx = 0, vy = 0, vz = -150.387, phi = 0.117364, theta = 1.24018e+06, psi = 0, p = 0.01533, q = 161992, r = 0
Step 512: x = 0, y = 0, z = -1155.85, vx = 0, vy = 0, vz = -150.682, phi = 0.117824, theta = 1.24505e+06, psi = 0, p = 0.01536, q = 162309, r = 0
Step 513: x = 0, y = 0, z = -1160.38, vx = 0, vy = 0, vz = -150.976, phi = 0.118285, theta = 1.24992e+06, psi = 0, p = 0.01539, q = 162626, r = 0
Step 514: x = 0, y = 0, z = -1164.91, vx = 0, vy = 0, vz = -151.27, phi = 0.118747, theta = 1.2548e+06, psi = 0, p = 0.01542, q = 162943, r = 0
Step 515: x = 0, y = 0, z = -1169.45, vx = 0, vy = 0, vz = -151.564, phi = 0.11921, theta = 1.25969e+06, psi = 0, p = 0.01545, q = 163260, r = 0
Step 516: x = 0, y = 0, z = -1174, vx = 0, vy = 0, vz = -151.859, phi = 0.119673, theta = 1.26459e+06, psi = 0, p = 0.01548, q = 163577, r = 0
Step 517: x = 0, y = 0, z = -1178.55, vx = 0, vy = 0, vz = -152.153, phi = 0.120138, theta = 1.2695e+06, psi = 0, p = 0.01551, q = 163894, r = 0
Step 518: x = 0, y = 0, z = -1183.12, vx = 0, vy = 0, vz = -152.447, phi = 0.120603, theta = 1.27442e+06, psi = 0, p = 0.01554, q = 164211, r = 0
Step 519: x = 0, y = 0, z = -1187.69, vx = 0, vy = 0, vz = -152.742, phi = 0.12107, theta = 1.27934e+06, psi = 0, p = 0.01557, q = 164528, r = 0
Step 520: x = 0, y = 0, z = -1192.28, vx = 0, vy = 0, vz = -153.036, phi = 0.121537, theta = 1.28428e+06, psi = 0, p = 0.0156, q = 164845, r = 0
Step 521: x = 0, y = 0, z = -1196.87, vx = 0, vy = 0, vz = -153.33, phi = 0.122005, theta = 1.28923e+06, psi = 0, p = 0.01563, q = 165162, r = 0
Step 522: x = 0, y = 0, z = -1201.47, vx = 0, vy = 0, vz = -153.625, phi = 0.122474, theta = 1.29419e+06, psi = 0, p = 0.01566, q = 165479, r = 0
Step 523: x = 0, y = 0, z = -1206.08, vx = 0, vy = 0, vz = -153.919, phi = 0.122944, theta = 1.29915e+06, psi = 0, p = 0.01569, q = 165796, r = 0
Step 524: x = 0, y = 0, z = -1210.7, vx = 0, vy = 0, vz = -154.213, phi = 0.123415, theta = 1.30413e+06, psi = 0, p = 0.01572, q = 166113, r = 0
Step 525: x = 0, y = 0, z = -1215.33, vx = 0, vy = 0, vz = -154.507, phi = 0.123887, theta = 1.30911e+06, psi = 0, p = 0.01575, q = 166430, r = 0
Step 526: x = 0, y = 0, z = -1219.97, vx = 0, vy = 0, vz = -154.802, phi = 0.12436, theta = 1.31411e+06, psi = 0, p = 0.01578, q = 166747, r = 0
Step 527: x = 0, y = 0, z = -1224.61, vx = 0, vy = 0, vz = -155.096, phi = 0.124833, theta = 1.31911e+06, psi = 0, p = 0.01581, q = 167064, r = 0
Step 528: x = 0, y = 0, z = -1229.27, vx = 0, vy = 0, vz = -155.39, phi = 0.125308, theta = 1.32413e+06, psi = 0, p = 0.01584, q = 167381, r = 0
Step 529: x = 0, y = 0, z = -1233.93, vx = 0, vy = 0, vz = -155.685, phi = 0.125783, theta = 1.32915e+06, psi = 0, p = 0.01587, q = 167698, r = 0
Step 530: x = 0, y = 0, z = -1238.6, vx = 0, vy = 0, vz = -155.979, phi = 0.126259, theta = 1.33418e+06, psi = 0, p = 0.0159, q = 168015, r = 0
Step 531: x = 0, y = 0, z = -1243.28, vx = 0, vy = 0, vz = -156.273, phi = 0.126736, theta = 1.33922e+06, psi = 0, p = 0.01593, q = 168332, r = 0
Step 532: x = 0, y = 0, z = -1247.97, vx = 0, vy = 0, vz = -156.568, phi = 0.127214, theta = 1.34428e+06, psi = 0, p = 0.01596, q = 168649, r = 0
Step 533: x = 0, y = 0, z = -1252.67, vx = 0, vy = 0, vz = -156.862, phi = 0.127693, theta = 1.34934e+06, psi = 0, p = 0.01599, q = 168966, r = 0
Step 534: x = 0, y = 0, z = -1257.38, vx = 0, vy = 0, vz = -157.156, phi = 0.128173, theta = 1.35441e+06, psi = 0, p = 0.01602, q = 169283, r = 0
Step 535: x = 0, y = 0, z = -1262.1, vx = 0, vy = 0, vz = -157.45, phi = 0.128654, theta = 1.35949e+06, psi = 0, p = 0.01605, q = 169600, r = 0
Step 536: x = 0, y = 0, z = -1266.82, vx = 0, vy = 0, vz = -157.745, phi = 0.129136, theta = 1.36458e+06, psi = 0, p = 0.01608, q = 169917, r = 0
Step 537: x = 0, y = 0, z = -1271.56, vx = 0, vy = 0, vz = -158.039, phi = 0.129618, theta = 1.36968e+06, psi = 0, p = 0.01611, q = 170234, r = 0
Step 538: x = 0, y = 0, z = -1276.3, vx = 0, vy = 0, vz = -158.333, phi = 0.130102, theta = 1.37479e+06, psi = 0, p = 0.01614, q = 170551, r = 0
Step 539: x = 0, y = 0, z = -1281.05, vx = 0, vy = 0, vz = -158.628, phi = 0.130586, theta = 1.3799e+06, psi = 0, p = 0.01617, q = 170868, r = 0
Step 540: x = 0, y = 0, z = -1285.81, vx = 0, vy = 0, vz = -158.922, phi = 0.131071, theta = 1.38503e+06, psi = 0, p = 0.0162, q = 171185, r = 0
Step 541: x = 0, y = 0, z = -1290.58, vx = 0, vy = 0, vz = -159.216, phi = 0.131558, theta = 1.39017e+06, psi = 0, p = 0.01623, q = 171502, r = 0
Step 542: x = 0, y = 0, z = -1295.36, vx = 0, vy = 0, vz = -159.511, phi = 0.132045, theta = 1.39532e+06, psi = 0, p = 0.01626, q = 171819, r = 0
Step 543: x = 0, y = 0, z = -1300.15, vx = 0, vy = 0, vz = -159.805, phi = 0.132533, theta = 1.40047e+06, psi = 0, p = 0.01629, q = 172136, r = 0
Step 544: x = 0, y = 0, z = -1304.94, vx = 0, vy = 0, vz = -160.099, phi = 0.133022, theta = 1.40564e+06, psi = 0, p = 0.01632, q = 172453, r = 0
Step 545: x = 0, y = 0, z = -1309.75, vx = 0, vy = 0, vz = -160.393, phi = 0.133511, theta = 1.41081e+06, psi = 0, p = 0.01635, q = 172770, r = 0
Step 546: x = 0, y = 0, z = -1314.56, vx = 0, vy = 0, vz = -160.688, phi = 0.134002, theta = 1.416e+06, psi = 0, p = 0.01638, q = 173087, r = 0
Step 547: x = 0, y = 0, z = -1319.38, vx = 0, vy = 0, vz = -160.982, phi = 0.134494, theta = 1.42119e+06, psi = 0, p = 0.01641, q = 173404, r = 0
Step 548: x = 0, y = 0, z = -1324.21, vx = 0, vy = 0, vz = -161.276, phi = 0.134986, theta = 1.4264e+06, psi = 0, p = 0.01644, q = 173721, r = 0
Step 549: x = 0, y = 0, z = -1329.05, vx = 0, vy = 0, vz = -161.571, phi = 0.135479, theta = 1.43161e+06, psi = 0, p = 0.01647, q = 174038, r = 0
Step 550: x = 0, y = 0, z = -1333.9, vx = 0, vy = 0, vz = -161.865, phi = 0.135974, theta = 1.43683e+06, psi = 0, p = 0.0165, q = 174356, r = 0
Step 551: x = 0, y = 0, z = -1338.76, vx = 0, vy = 0, vz = -162.159, phi = 0.136469, theta = 1.44207e+06, psi = 0, p = 0.01653, q = 174673, r = 0
Step 552: x = 0, y = 0, z = -1343.63, vx = 0, vy = 0, vz = -162.454, phi = 0.136965, theta = 1.44731e+06, psi = 0, p = 0.01656, q = 174990, r = 0
Step 553: x = 0, y = 0, z = -1348.5, vx = 0, vy = 0, vz = -162.748, phi = 0.137462, theta = 1.45256e+06, psi = 0, p = 0.01659, q = 175307, r = 0
Step 554: x = 0, y = 0, z = -1353.39, vx = 0, vy = 0, vz = -163.042, phi = 0.13796, theta = 1.45782e+06, psi = 0, p = 0.01662, q = 175624, r = 0
Step 555: x = 0, y = 0, z = -1358.28, vx = 0, vy = 0, vz = -163.336, phi = 0.138459, theta = 1.46309e+06, psi = 0, p = 0.01665, q = 175941, r = 0
Step 556: x = 0, y = 0, z = -1363.18, vx = 0, vy = 0, vz = -163.631, phi = 0.138958, theta = 1.46837e+06, psi = 0, p = 0.01668, q = 176258, r = 0
Step 557: x = 0, y = 0, z = -1368.09, vx = 0, vy = 0, vz = -163.925, phi = 0.139459, theta = 1.47366e+06, psi = 0, p = 0.01671, q = 176575, r = 0
Step 558: x = 0, y = 0, z = -1373.01, vx = 0, vy = 0, vz = -164.219, phi = 0.13996, theta = 1.47896e+06, psi = 0, p = 0.01674, q = 176892, r = 0
Step 559: x = 0, y = 0, z = -1377.94, vx = 0, vy = 0, vz = -164.514, phi = 0.140463, theta = 1.48427e+06, psi = 0, p = 0.01677, q = 177209, r = 0
Step 560: x = 0, y = 0, z = -1382.88, vx = 0, vy = 0, vz = -164.808, phi = 0.140966, theta = 1.48959e+06, psi = 0, p = 0.0168, q = 177526, r = 0
Step 561: x = 0, y = 0, z = -1387.82, vx = 0, vy = 0, vz = -165.102, phi = 0.14147, theta = 1.49492e+06, psi = 0, p = 0.01683, q = 177843, r = 0
Step 562: x = 0, y = 0, z = -1392.78, vx = 0, vy = 0, vz = -165.397, phi = 0.141975, theta = 1.50025e+06, psi = 0, p = 0.01686, q = 178160, r = 0
Step 563: x = 0, y = 0, z = -1397.74, vx = 0, vy = 0, vz = -165.691, phi = 0.142481, theta = 1.5056e+06, psi = 0, p = 0.01689, q = 178477, r = 0
Step 564: x = 0, y = 0, z = -1402.71, vx = 0, vy = 0, vz = -165.985, phi = 0.142988, theta = 1.51096e+06, psi = 0, p = 0.01692, q = 178794, r = 0
Step 565: x = 0, y = 0, z = -1407.69, vx = 0, vy = 0, vz = -166.279, phi = 0.143496, theta = 1.51632e+06, psi = 0, p = 0.01695, q = 179111, r = 0
Step 566: x = 0, y = 0, z = -1412.68, vx = 0, vy = 0, vz = -166.574, phi = 0.144005, theta = 1.5217e+06, psi = 0, p = 0.01698, q = 179428, r = 0
Step 567: x = 0, y = 0, z = -1417.68, vx = 0, vy = 0, vz = -166.868, phi = 0.144514, theta = 1.52708e+06, psi = 0, p = 0.01701, q = 179745, r = 0
Step 568: x = 0, y = 0, z = -1422.69, vx = 0, vy = 0, vz = -167.162, phi = 0.145025, theta = 1.53247e+06, psi = 0, p = 0.01704, q = 180062, r = 0
Step 569: x = 0, y = 0, z = -1427.71, vx = 0, vy = 0, vz = -167.457, phi = 0.145536, theta = 1.53788e+06, psi = 0, p = 0.01707, q = 180379, r = 0
Step 570: x = 0, y = 0, z = -1432.73, vx = 0, vy = 0, vz = -167.751, phi = 0.146048, theta = 1.54329e+06, psi = 0, p = 0.0171, q = 180696, r = 0
Step 571: x = 0, y = 0, z = -1437.77, vx = 0, vy = 0, vz = -168.045, phi = 0.146561, theta = 1.54871e+06, psi = 0, p = 0.01713, q = 181013, r = 0
Step 572: x = 0, y = 0, z = -1442.81, vx = 0, vy = 0, vz = -168.34, phi = 0.147075, theta = 1.55415e+06, psi = 0, p = 0.01716, q = 181330, r = 0
Step 573: x = 0, y = 0, z = -1447.86, vx = 0, vy = 0, vz = -168.634, phi = 0.14759, theta = 1.55959e+06, psi = 0, p = 0.01719, q = 181647, r = 0
Step 574: x = 0, y = 0, z = -1452.92, vx = 0, vy = 0, vz = -168.928, phi = 0.148106, theta = 1.56504e+06, psi = 0, p = 0.01722, q = 181964, r = 0
Step 575: x = 0, y = 0, z = -1457.99, vx = 0, vy = 0, vz = -169.222, phi = 0.148623, theta = 1.5705e+06, psi = 0, p = 0.01725, q = 182281, r = 0
Step 576: x = 0, y = 0, z = -1463.07, vx = 0, vy = 0, vz = -169.517, phi = 0.149141, theta = 1.57597e+06, psi = 0, p = 0.01728, q = 182598, r = 0
Step 577: x = 0, y = 0, z = -1468.16, vx = 0, vy = 0, vz = -169.811, phi = 0.149659, theta = 1.58145e+06, psi = 0, p = 0.01731, q = 182915, r = 0
Step 578: x = 0, y = 0, z = -1473.25, vx = 0, vy = 0, vz = -170.105, phi = 0.150179, theta = 1.58694e+06, psi = 0, p = 0.01734, q = 183232, r = 0
Step 579: x = 0, y = 0, z = -1478.36, vx = 0, vy = 0, vz = -170.4, phi = 0.150699, theta = 1.59244e+06, psi = 0, p = 0.01737, q = 183549, r = 0
Step 580: x = 0, y = 0, z = -1483.47, vx = 0, vy = 0, vz = -170.694, phi = 0.15122, theta = 1.59795e+06, psi = 0, p = 0.0174, q = 183866, r = 0
Step 581: x = 0, y = 0, z = -1488.6, vx = 0, vy = 0, vz = -170.988, phi = 0.151743, theta = 1.60346e+06, psi = 0, p = 0.01743, q = 184183, r = 0
Step 582: x = 0, y = 0, z = -1493.73, vx = 0, vy = 0, vz = -171.283, phi = 0.152266, theta = 1.60899e+06, psi = 0, p = 0.01746, q = 184500, r = 0
Step 583: x = 0, y = 0, z = -1498.87, vx = 0, vy = 0, vz = -171.577, phi = 0.15279, theta = 1.61453e+06, psi = 0, p = 0.01749, q = 184817, r = 0
Step 584: x = 0, y = 0, z = -1504.02, vx = 0, vy = 0, vz = -171.871, phi = 0.153315, theta = 1.62008e+06, psi = 0, p = 0.01752, q = 185134, r = 0
Step 585: x = 0, y = 0, z = -1509.17, vx = 0, vy = 0, vz = -172.165, phi = 0.15384, theta = 1.62563e+06, psi = 0, p = 0.01755, q = 185451, r = 0
Step 586: x = 0, y = 0, z = -1514.34, vx = 0, vy = 0, vz = -172.46, phi = 0.154367, theta = 1.6312e+06, psi = 0, p = 0.01758, q = 185768, r = 0
Step 587: x = 0, y = 0, z = -1519.52, vx = 0, vy = 0, vz = -172.754, phi = 0.154895, theta = 1.63677e+06, psi = 0, p = 0.01761, q = 186085, r = 0
Step 588: x = 0, y = 0, z = -1524.7, vx = 0, vy = 0, vz = -173.048, phi = 0.155423, theta = 1.64236e+06, psi = 0, p = 0.01764, q = 186402, r = 0
Step 589: x = 0, y = 0, z = -1529.89, vx = 0, vy = 0, vz = -173.343, phi = 0.155952, theta = 1.64795e+06, psi = 0, p = 0.01767, q = 186719, r = 0
Step 590: x = 0, y = 0, z = -1535.1, vx = 0, vy = 0, vz = -173.637, phi = 0.156483, theta = 1.65355e+06, psi = 0, p = 0.0177, q = 187036, r = 0
Step 591: x = 0, y = 0, z = -1540.31, vx = 0, vy = 0, vz = -173.931, phi = 0.157014, theta = 1.65917e+06, psi = 0, p = 0.01773, q = 187353, r = 0
Step 592: x = 0, y = 0, z = -1545.53, vx = 0, vy = 0, vz = -174.226, phi = 0.157546, theta = 1.66479e+06, psi = 0, p = 0.01776, q = 187670, r = 0
Step 593: x = 0, y = 0, z = -1550.75, vx = 0, vy = 0, vz = -174.52, phi = 0.158079, theta = 1.67042e+06, psi = 0, p = 0.01779, q = 187987, r = 0
Step 594: x = 0, y = 0, z = -1555.99, vx = 0, vy = 0, vz = -174.814, phi = 0.158613, theta = 1.67606e+06, psi = 0, p = 0.01782, q = 188304, r = 0
Step 595: x = 0, y = 0, z = -1561.24, vx = 0, vy = 0, vz = -175.108, phi = 0.159148, theta = 1.68171e+06, psi = 0, p = 0.01785, q = 188621, r = 0
Step 596: x = 0, y = 0, z = -1566.49, vx = 0, vy = 0, vz = -175.403, phi = 0.159683, theta = 1.68737e+06, psi = 0, p = 0.01788, q = 188938, r = 0
Step 597: x = 0, y = 0, z = -1571.76, vx = 0, vy = 0, vz = -175.697, phi = 0.16022, theta = 1.69304e+06, psi = 0, p = 0.01791, q = 189255, r = 0
Step 598: x = 0, y = 0, z = -1577.03, vx = 0, vy = 0, vz = -175.991, phi = 0.160757, theta = 1.69872e+06, psi = 0, p = 0.01794, q = 189572, r = 0
Step 599: x = 0, y = 0, z = -1582.31, vx = 0, vy = 0, vz = -176.286, phi = 0.161296, theta = 1.70441e+06, psi = 0, p = 0.01797, q = 189889, r = 0
Step 600: x = 0, y = 0, z = -1587.6, vx = 0, vy = 0, vz = -176.58, phi = 0.161835, theta = 1.71011e+06, psi = 0, p = 0.018, q = 190206, r = 0
Step 601: x = 0, y = 0, z = -1592.9, vx = 0, vy = 0, vz = -176.874, phi = 0.162375, theta = 1.71582e+06, psi = 0, p = 0.01803, q = 190523, r = 0
Step 602: x = 0, y = 0, z = -1598.21, vx = 0, vy = 0, vz = -177.169, phi = 0.162916, theta = 1.72154e+06, psi = 0, p = 0.01806, q = 190840, r = 0
Step 603: x = 0, y = 0, z = -1603.53, vx = 0, vy = 0, vz = -177.463, phi = 0.163458, theta = 1.72726e+06, psi = 0, p = 0.01809, q = 191157, r = 0
Step 604: x = 0, y = 0, z = -1608.85, vx = 0, vy = 0, vz = -177.757, phi = 0.164001, theta = 1.733e+06, psi = 0, p = 0.01812, q = 191474, r = 0
Step 605: x = 0, y = 0, z = -1614.19, vx = 0, vy = 0, vz = -178.051, phi = 0.164545, theta = 1.73875e+06, psi = 0, p = 0.01815, q = 191791, r = 0
Step 606: x = 0, y = 0, z = -1619.53, vx = 0, vy = 0, vz = -178.346, phi = 0.16509, theta = 1.7445e+06, psi = 0, p = 0.01818, q = 192108, r = 0
Step 607: x = 0, y = 0, z = -1624.88, vx = 0, vy = 0, vz = -178.64, phi = 0.165635, theta = 1.75027e+06, psi = 0, p = 0.01821, q = 192425, r = 0
Step 608: x = 0, y = 0, z = -1630.24, vx = 0, vy = 0, vz = -178.934, phi = 0.166182, theta = 1.75604e+06, psi = 0, p = 0.01824, q = 192742, r = 0
Step 609: x = 0, y = 0, z = -1635.61, vx = 0, vy = 0, vz = -179.229, phi = 0.166729, theta = 1.76183e+06, psi = 0, p = 0.01827, q = 193059, r = 0
Step 610: x = 0, y = 0, z = -1640.99, vx = 0, vy = 0, vz = -179.523, phi = 0.167277, theta = 1.76762e+06, psi = 0, p = 0.0183, q = 193376, r = 0
Step 611: x = 0, y = 0, z = -1646.38, vx = 0, vy = 0, vz = -179.817, phi = 0.167826, theta = 1.77342e+06, psi = 0, p = 0.01833, q = 193693, r = 0
Step 612: x = 0, y = 0, z = -1651.77, vx = 0, vy = 0, vz = -180.112, phi = 0.168376, theta = 1.77923e+06, psi = 0, p = 0.01836, q = 194010, r = 0
Step 613: x = 0, y = 0, z = -1657.18, vx = 0, vy = 0, vz = -180.406, phi = 0.168927, theta = 1.78506e+06, psi = 0, p = 0.01839, q = 194327, r = 0
Step 614: x = 0, y = 0, z = -1662.59, vx = 0, vy = 0, vz = -180.7, phi = 0.169479, theta = 1.79089e+06, psi = 0, p = 0.01842, q = 194644, r = 0
Step 615: x = 0, y = 0, z = -1668.02, vx = 0, vy = 0, vz = -180.994, phi = 0.170032, theta = 1.79673e+06, psi = 0, p = 0.01845, q = 194961, r = 0
Step 616: x = 0, y = 0, z = -1673.45, vx = 0, vy = 0, vz = -181.289, phi = 0.170586, theta = 1.80258e+06, psi = 0, p = 0.01848, q = 195278, r = 0
Step 617: x = 0, y = 0, z = -1678.89, vx = 0, vy = 0, vz = -181.583, phi = 0.17114, theta = 1.80844e+06, psi = 0, p = 0.01851, q = 195595, r = 0
Step 618: x = 0, y = 0, z = -1684.34, vx = 0, vy = 0, vz = -181.877, phi = 0.171696, theta = 1.81431e+06, psi = 0, p = 0.01854, q = 195912, r = 0
Step 619: x = 0, y = 0, z = -1689.79, vx = 0, vy = 0, vz = -182.172, phi = 0.172252, theta = 1.82019e+06, psi = 0, p = 0.01857, q = 196229, r = 0
Step 620: x = 0, y = 0, z = -1695.26, vx = 0, vy = 0, vz = -182.466, phi = 0.172809, theta = 1.82608e+06, psi = 0, p = 0.0186, q = 196546, r = 0
Step 621: x = 0, y = 0, z = -1700.74, vx = 0, vy = 0, vz = -182.76, phi = 0.173368, theta = 1.83198e+06, psi = 0, p = 0.01863, q = 196863, r = 0
Step 622: x = 0, y = 0, z = -1706.22, vx = 0, vy = 0, vz = -183.055, phi = 0.173927, theta = 1.83788e+06, psi = 0, p = 0.01866, q = 197180, r = 0
Step 623: x = 0, y = 0, z = -1711.71, vx = 0, vy = 0, vz = -183.349, phi = 0.174487, theta = 1.8438e+06, psi = 0, p = 0.01869, q = 197497, r = 0
Step 624: x = 0, y = 0, z = -1717.22, vx = 0, vy = 0, vz = -183.643, phi = 0.175048, theta = 1.84973e+06, psi = 0, p = 0.01872, q = 197814, r = 0
Step 625: x = 0, y = 0, z = -1722.73, vx = 0, vy = 0, vz = -183.937, phi = 0.175609, theta = 1.85566e+06, psi = 0, p = 0.01875, q = 198131, r = 0
Step 626: x = 0, y = 0, z = -1728.25, vx = 0, vy = 0, vz = -184.232, phi = 0.176172, theta = 1.86161e+06, psi = 0, p = 0.01878, q = 198448, r = 0
Step 627: x = 0, y = 0, z = -1733.78, vx = 0, vy = 0, vz = -184.526, phi = 0.176736, theta = 1.86757e+06, psi = 0, p = 0.01881, q = 198765, r = 0
Step 628: x = 0, y = 0, z = -1739.31, vx = 0, vy = 0, vz = -184.82, phi = 0.1773, theta = 1.87353e+06, psi = 0, p = 0.01884, q = 199082, r = 0
Step 629: x = 0, y = 0, z = -1744.86, vx = 0, vy = 0, vz = -185.115, phi = 0.177865, theta = 1.8795e+06, psi = 0, p = 0.01887, q = 199399, r = 0
Step 630: x = 0, y = 0, z = -1750.42, vx = 0, vy = 0, vz = -185.409, phi = 0.178432, theta = 1.88549e+06, psi = 0, p = 0.0189, q = 199716, r = 0
Step 631: x = 0, y = 0, z = -1755.98, vx = 0, vy = 0, vz = -185.703, phi = 0.178999, theta = 1.89148e+06, psi = 0, p = 0.01893, q = 200033, r = 0
Step 632: x = 0, y = 0, z = -1761.55, vx = 0, vy = 0, vz = -185.998, phi = 0.179567, theta = 1.89748e+06, psi = 0, p = 0.01896, q = 200350, r = 0
Step 633: x = 0, y = 0, z = -1767.13, vx = 0, vy = 0, vz = -186.292, phi = 0.180136, theta = 1.9035e+06, psi = 0, p = 0.01899, q = 200667, r = 0
